t,target_x,target_y,target_z,actual_x,actual_y,actual_z,inner_x,inner_y,inner_z,position_error_x,position_error_y,position_error_z,position_error_norm,orientation_error_x,orientation_error_y,orientation_error_z,orientation_error_norm_rad,orientation_error_norm_deg,target_roll_deg,target_pitch_deg,target_yaw_deg,actual_roll_deg,actual_pitch_deg,actual_yaw_deg,error_roll_deg,error_pitch_deg,error_yaw_deg,inner_vx,inner_vy,inner_vz,filtered_fx,filtered_fy,filtered_fz,masked_fx,masked_fy,masked_fz
0.000000,0.307000,0.000000,0.367000,0.368264,0.029745,0.332946,0.368264,0.029745,0.332946,0.061264,0.029745,-0.034054,0.076143,0.004594,0.021199,-0.003558,0.021981,1.259430,180.000000,-0.000000,0.000000,179.734594,-1.214158,0.206663,0.265406,1.214158,-0.206663,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.001000,0.307000,0.000000,0.367000,0.368263,0.029744,0.332943,0.368264,0.029745,0.332946,0.061263,0.029744,-0.034057,0.076143,0.004595,0.021193,-0.003563,0.021976,1.259153,180.000000,-0.000000,0.000000,179.734511,-1.213803,0.206962,0.265489,1.213803,-0.206962,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.011509,-0.004848,-0.006921
0.002000,0.307000,0.000000,0.367000,0.368264,0.029747,0.332945,0.368264,0.029745,0.332946,0.061264,0.029747,-0.034055,0.076144,0.004597,0.021198,-0.003570,0.021982,1.259489,180.000000,-0.000000,0.000000,179.734418,-1.214061,0.207382,0.265582,1.214061,-0.207382,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.023816,0.001657,-0.010848
0.003000,0.307000,0.000000,0.367000,0.368263,0.029747,0.332942,0.368264,0.029745,0.332946,0.061263,0.029747,-0.034058,0.076144,0.004596,0.021194,-0.003564,0.021977,1.259193,180.000000,-0.000000,0.000000,179.734438,-1.213822,0.206996,0.265562,1.213822,-0.206996,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.003719,0.001810,0.011392
0.004000,0.307000,0.000000,0.367000,0.368262,0.029747,0.332941,0.368264,0.029745,0.332946,0.061262,0.029747,-0.034059,0.076144,0.004596,0.021191,-0.003567,0.021975,1.259064,180.000000,-0.000000,0.000000,179.734482,-1.213665,0.207194,0.265518,1.213665,-0.207194,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.011661,0.011615,-0.022270
0.005000,0.307000,0.000000,0.367000,0.368262,0.029747,0.332940,0.368264,0.029745,0.332946,0.061262,0.029747,-0.034060,0.076144,0.004594,0.021189,-0.003568,0.021973,1.258981,180.000000,-0.000000,0.000000,179.734578,-1.213592,0.207244,0.265422,1.213592,-0.207244,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.003560,-0.011601,-0.046330
0.006000,0.307000,0.000000,0.367000,0.368261,0.029746,0.332940,0.368264,0.029745,0.332946,0.061261,0.029746,-0.034060,0.076143,0.004594,0.021189,-0.003565,0.021972,1.258902,180.000000,-0.000000,0.000000,179.734601,-1.213543,0.207074,0.265399,1.213543,-0.207074,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.020304,0.025373,0.001591
0.007000,0.307000,0.000000,0.367000,0.368258,0.029746,0.332936,0.368264,0.029745,0.332946,0.061258,0.029746,-0.034064,0.076143,0.004597,0.021181,-0.003567,0.021966,1.258544,180.000000,-0.000000,0.000000,179.734423,-1.213114,0.207187,0.265577,1.213114,-0.207187,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.007781,0.009151,0.042345
0.008000,0.307000,0.000000,0.367000,0.368257,0.029746,0.332934,0.368264,0.029745,0.332946,0.061257,0.029746,-0.034066,0.076144,0.004600,0.021179,-0.003572,0.021965,1.258523,180.000000,-0.000000,0.000000,179.734245,-1.213003,0.207484,0.265755,1.213003,-0.207484,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.013994,0.001837,0.016160
0.009000,0.307000,0.000000,0.367000,0.368257,0.029746,0.332933,0.368264,0.029745,0.332946,0.061257,0.029746,-0.034067,0.076143,0.004599,0.021178,-0.003577,0.021964,1.258473,180.000000,-0.000000,0.000000,179.734301,-1.212918,0.207753,0.265699,1.212918,-0.207753,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.023447,0.002464,-0.032527
